Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_20_20260327231857.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_19_20260327221231.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_15_20260327210606.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_14_20260327195941.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_13_20260327185315.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_12_20260327174650.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_4_20260327164027.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_2_20260327153359.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_18_20260327120051.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_17_20260327105425.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_16_20260327094800.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_11_20260327062843.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_10_20260327052217.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_9_20260327041551.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_8_20260327030927.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_7_20260327020303.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_6_20260327005639.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_5_20260326235014.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_3_20260326224350.raw	\\MRC-ASTRAL\DataSSD\2026\03_March\20260323\20260324_KFaber_120017_DRI_X168_1_20260326203102.raw
O88532	ZFR_MOUSE	Zfr	Zinc finger RNA-binding protein	47	47	4.72992e+07	2.57542e+07	2.90913e+07	2.82267e+07	2.64326e+07	2.31797e+07	2.14371e+07	2.67171e+07	4.27999e+06	6.49089e+06	7.36283e+06	1.0738e+07	4.68104e+06	6.37149e+06	4.31037e+06	3.12359e+06	4.23961e+06	4.43298e+06	8.70816e+06	5.14091e+06
O88533	DDC_MOUSE	Ddc	Aromatic-L-amino-acid decarboxylase	11	11	1.12939e+07	3.06508e+06	3.19324e+06	5.02871e+06	2.34634e+06	2.23927e+06	3.75253e+06	4.2758e+06	1.09267e+06	1.58201e+06	2.02518e+06	1.74502e+06	872507	4.38666e+06	388430	256727	384351	953943	1.06876e+06	723509
O88543	CSN3_MOUSE	Cops3	COP9 signalosome complex subunit 3	21	21	1.4311e+08	5.94967e+07	4.68907e+07	6.17147e+07	2.72568e+07	2.11816e+07	6.34316e+07	1.01076e+08	7.32721e+06	1.61183e+07	9.89491e+06	1.35657e+07	7.14803e+06	1.59698e+07	6.77088e+06	1.89164e+06	1.5787e+06	2.63978e+06	6.35969e+06	9.40068e+06
O88544	CSN4_MOUSE	Cops4	COP9 signalosome complex subunit 4	37	37	4.82388e+07	1.60913e+07	1.23648e+07	1.90771e+07	7.2899e+06	6.77434e+06	2.09753e+07	3.70855e+07	2.6691e+06	5.59424e+06	4.15421e+06	4.66215e+06	2.49796e+06	5.27629e+06	2.44038e+06	641633	1.61494e+06	2.08748e+06	4.22911e+06	4.28955e+06
O88545	CSN6_MOUSE	Cops6	COP9 signalosome complex subunit 6	13	13	1.48023e+07	5.69031e+06	2.35603e+06	5.51215e+06	3.2078e+06	2.11892e+06	6.01076e+06	7.35807e+06	1.01036e+06	1.93847e+06	1.60434e+06	1.49851e+06	738418	1.59089e+06	275212	265808	528552	977930	1.49035e+06	1.23454e+06
O88559	MEN1_MOUSE	Men1	Menin	7	7	1.5541e+06	612735	270534	805566	415317	457833	412185	462343	285364	323970	335573	287326	226234	293424		77973	193947	209437	140823	134334
O88561	S27A3_MOUSE	Slc27a3	Solute carrier family 27 member 3	2	2	416780	370184		330501	229495	141603						149696		148560						
O88569	ROA2_MOUSE	Hnrnpa2b1	Heterogeneous nuclear ribonucleoproteins A2/B1	37	36	1.11843e+09	7.08892e+08	5.4575e+08	6.76233e+08	6.55083e+08	5.67407e+08	8.32194e+08	1.00109e+09	1.15885e+08	2.21697e+08	2.138e+08	3.94513e+08	1.8659e+08	2.39728e+08	1.24491e+08	1.07091e+08	1.70018e+08	2.06144e+08	2.52839e+08	3.32239e+08
O88574	SAP30_MOUSE	Sap30	Histone deacetylase complex subunit SAP30	1	1	74356.7	40818	22571.5			21930.2	106964			20705.6	38043.3	33398.1								
O88587	COMT_MOUSE	Comt	Catechol O-methyltransferase	8	8	3.02043e+07	9.55197e+06	1.50158e+07	1.61886e+07	9.77005e+06	9.31206e+06	1.82138e+07	2.04657e+07	2.76972e+06	3.35203e+06	3.95731e+06	3.55307e+06	2.82962e+06	4.82939e+06	2.18794e+06	1.55896e+06	2.30181e+06	2.32149e+06	2.72489e+06	3.26234e+06
