Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
A6X919	D19L1_MOUSE	Dpy19l1	Probable C-mannosyltransferase DPY19L1	13	12	2.09E+06	1.84E+06	1.84E+06	1.17E+06	1.79E+06	1.78E+06	2.08E+06
A6X935	ITIH4_MOUSE	Itih4	"Inter alpha-trypsin inhibitor, heavy chain 4"	17	17	839267			514115		409986	4.15E+06
A8C756	THADA_MOUSE	Thada	Thyroid adenoma-associated protein homolog	13	13	9.73E+06	7.73E+06	7.10E+06	7.76E+06	1.04E+07	9.97E+06	9.12E+06
A8Y5H7;A8Y5H7-2;A8Y5H7-3	S14L1_MOUSE	Sec14l1	SEC14-like protein 1	27	27	5.12E+07	4.54E+07	4.71E+07	3.30E+07	5.15E+07	5.54E+07	5.07E+07
A9Z1V5	VW5B1_MOUSE	Vwa5b1	von Willebrand factor A domain-containing protein 5B1	12	12	5.48E+06	6.12E+06	5.16E+06	4.66E+06	8.14E+06	9.44E+06	1.03E+07
B0F2B4	NLGN4_MOUSE	Nlgn4l	Neuroligin 4-like	23	23	1.23E+07	1.19E+07	1.23E+07	8.62E+06	1.22E+07	1.28E+07	1.21E+07
B0V2N1	PTPRS_MOUSE	Ptprs	Receptor-type tyrosine-protein phosphatase S	66	65	2.25E+07	2.35E+07	2.26E+07	1.66E+07	2.27E+07	2.57E+07	2.60E+07
B0V2N1-3;B0V2N1-4	PTPRS_MOUSE	Ptprs	Isoform 3 of Receptor-type tyrosine-protein phosphatase S	1	1	5.34E+07	4.97E+07	4.96E+07	3.36E+07	5.17E+07	5.00E+07	5.06E+07
B1AR13	CISD3_MOUSE	Cisd3	"CDGSH iron-sulfur domain-containing protein 3, mitochondrial"	7	7	1.05E+07	1.39E+07	1.25E+07	9.59E+06	1.25E+07	1.35E+07	1.55E+07
B1AS29	GRIK3_MOUSE	Grik3	"Glutamate receptor ionotropic, kainate 3"	24	24	1.17E+07	1.11E+07	1.38E+07	6.69E+06	1.14E+07	1.27E+07	1.28E+07
B1AUE5	PEX10_MOUSE	Pex10	Peroxisome biogenesis factor 10	6	6	1.12E+06	1.11E+06	1.08E+06	633415	1.16E+06	1.57E+06	1.29E+06
B1AUH1;B1AUH1-2	PTPRU_MOUSE	Ptpru	Receptor-type tyrosine-protein phosphatase U	14	14	1.81E+07	1.54E+07	2.11E+07	1.10E+07	1.94E+07	1.85E+07	1.73E+07
B1AVH7	TBD2A_MOUSE	Tbc1d2	TBC1 domain family member 2A	4	4		31622			81412		
B1AVY7	KI16B_MOUSE	Kif16b	Kinesin-like protein KIF16B	4	4	6.02E+06	5.10E+06	5.06E+06	3.84E+06		4.94E+06	5.20E+06
B1AVZ0	UPP_MOUSE	Uprt	Uracil phosphoribosyltransferase homolog	14	14	3.39E+06	3.32E+06	3.42E+06	2.30E+06	3.60E+06	4.08E+06	3.71E+06
B1AWJ5	TMM8B_MOUSE	Tmem8b	Transmembrane protein 8B	1	1		6675.34		5141.65	16690	5528.16	
B1AWN6	SCN2A_MOUSE	Scn2a	Sodium channel protein type 2 subunit alpha	66	37	8.95E+08	8.29E+08	8.98E+08	6.68E+08	8.78E+08	9.39E+08	9.01E+08
B1AX39	ZCHC7_MOUSE	Zcchc7	Zinc finger CCHC domain-containing protein 7	1	1		1767.54	1867.08			2167.82	
B1AXH1	NHSL2_MOUSE	Nhsl2	NHS-like protein 2	40	40	3.82E+07	4.05E+07	3.34E+07	3.33E+07	4.38E+07	4.66E+07	4.25E+07
B1AXP6	TOM5_MOUSE	Tomm5	Mitochondrial import receptor subunit TOM5 homolog	6	6	1.53E+06	780767	1.12E+06	463282	1.33E+06	1.05E+06	1.08E+06
B1AXV0	FRS1L_MOUSE	Frrs1l	DOMON domain-containing protein FRRS1L	13	13	1.22E+08	1.13E+08	1.08E+08	7.19E+07	1.03E+08	1.29E+08	1.15E+08
B1AY10	NFX1_MOUSE	Nfx1	Transcriptional repressor NF-X1	37	37	4.08E+06	4.05E+06	3.98E+06	2.68E+06	3.70E+06	4.45E+06	4.80E+06
B1AY13	UBP24_MOUSE	Usp24	Ubiquitin carboxyl-terminal hydrolase 24	94	94	5.01E+07	5.25E+07	5.09E+07	3.54E+07	5.50E+07	5.62E+07	5.63E+07
B1AZA5	TM245_MOUSE	Tmem245	Transmembrane protein 245	12	12	2.83E+06	3.07E+06	2.92E+06	2.01E+06	3.04E+06	3.28E+06	3.41E+06
B1AZI6	THOC2_MOUSE	Thoc2	THO complex subunit 2	35	35	9.95E+06	1.04E+07	1.03E+07	8.55E+06	1.25E+07	1.24E+07	1.31E+07
B1AZP2-2	DLGP4_MOUSE	Dlgap4	Isoform 2 of Disks large-associated protein 4	45	45	1.82E+07	1.76E+07	1.70E+07	1.20E+07	1.71E+07	1.72E+07	1.73E+07
B1AZP2-3	DLGP4_MOUSE	Dlgap4	Isoform 3 of Disks large-associated protein 4	3	3	215877	231809	236599	119573	198936	229786	269362
B2B9E1	TRIQK_MOUSE	Triqk	Triple QxxK/R motif-containing protein	1	1	1.58E+07	1.34E+07	1.70E+07	7.85E+06	1.38E+07	1.68E+07	1.59E+07
B2RPU2	PLHD1_MOUSE	Plekhd1	Pleckstrin homology domain-containing family D member 1	6	6	70187.6		87598.9	72312.3	104794		128599
B2RPY5;B2RPY5-2;B2RPY5-3	GP161_MOUSE	Gpr161	G-protein coupled receptor 161	4	4	106753	89110.9	84501.5	78170.5	93668.7	100293	106731
B2RQC6	PYR1_MOUSE	Cad	CAD protein	73	71	4.13E+08	4.16E+08	4.09E+08	3.09E+08	4.53E+08	5.07E+08	4.77E+08
B2RQE8	RHG42_MOUSE	Arhgap42	Rho GTPase-activating protein 42	3	3	35260.3	51524.7			42929.4	57047.2	37350.5
B2RR83	YTDC2_MOUSE	Ythdc2	3'-5' RNA helicase YTHDC2	52	52	1.25E+08	1.28E+08	1.24E+08	8.92E+07	1.35E+08	1.44E+08	1.43E+08
B2RRD7	BRPF1_MOUSE	Brpf1	Peregrin	6	5	33228.5	11075.8	19857.7	25672.4	25958	29072.8	17611.9
B2RRE7	OTUD4_MOUSE	Otud4	OTU domain-containing protein 4	27	27	5.83E+07	5.96E+07	5.87E+07	4.19E+07	6.86E+07	7.01E+07	7.06E+07
B2RS91	RRN3_MOUSE	Rrn3	RNA polymerase I-specific transcription initiation factor RRN3	4	4	23499.1	18782.6	14042.6	10737.6	9987.81	10871.6	22949.3
B2RSH2	GNAI1_MOUSE	Gnai1	Guanine nucleotide-binding protein G(i) subunit alpha-1	13	12	2.99E+08	3.07E+08	3.03E+08	2.02E+08	3.00E+08	3.35E+08	3.27E+08
B2RUJ5	APBA1_MOUSE	Apba1	Amyloid-beta A4 precursor protein-binding family A member 1	25	23	4.43E+07	4.26E+07	4.48E+07	2.88E+07	4.06E+07	4.36E+07	3.96E+07
B2RUR8	OTU7B_MOUSE	Otud7b	OTU domain-containing protein 7B	23	23	4.07E+06	3.45E+06	3.30E+06	2.81E+06	4.23E+06	3.73E+06	3.94E+06
B2RVL6	ZCH24_MOUSE	Zcchc24	Zinc finger CCHC domain-containing protein 24	2	2	70638	81075.6	90817.1	54107.4	83383	80717	82868.9
B2RWJ3	TM240_MOUSE	Tmem240	Transmembrane protein 240	3	3	435927	859799	951469	531071	654531	686937	1.45E+06
B2RWS6	EP300_MOUSE	Ep300	Histone acetyltransferase p300	9	9	74225.5	75119.9	63160.9	32031.5	119650	86463.8	76212.9
B2RX14	TUT4_MOUSE	Tut4	Terminal uridylyltransferase 4	18	18	784552	880222	867494	735264	1.06E+06	950189	874047
B2RX88;B2RX88-2	CSPP1_MOUSE	Cspp1	Centrosome and spindle pole associated protein 1	4	4	124110	64243.8	125819	96995.7	122448	152048	121450
B2RXA1	PLCX2_MOUSE	Plcxd2	PI-PLC X domain-containing protein 2	5	5	412832	204989	605492	170194	424573	262774	387229
B2RXC1	TPC11_MOUSE	Trappc11	Trafficking protein particle complex subunit 11	44	44	9.13E+06	8.47E+06	8.79E+06	6.35E+06	9.07E+06	9.78E+06	9.36E+06
B2RXC5	ZN382_MOUSE	Znf382	Zinc finger protein 382	1	1							
B2RXR6	ANR44_MOUSE	Ankrd44	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B	21	21	3.67E+06	3.23E+06	3.50E+06	2.53E+06	3.29E+06	3.76E+06	3.76E+06
B2RXS4	PLXB2_MOUSE	Plxnb2	Plexin-B2	52	52	1.18E+08	1.25E+08	1.27E+08	7.96E+07	1.31E+08	1.29E+08	1.43E+08
B2RXV4	FLVC1_MOUSE	Flvcr1	Feline leukemia virus subgroup C receptor-related protein 1	1	1	11308.6	11489.4		11585	20824	24843.7	12441.8
B2RY04	DOCK5_MOUSE	Dock5	Dedicator of cytokinesis protein 5	38	38	2.91E+06	2.85E+06	2.17E+06	2.07E+06	3.19E+06	3.06E+06	2.94E+06
B2RY50	ODAD2_MOUSE	Odad2	Outer dynein arm-docking complex subunit 2	3	3		16079.4		14223.4	14546	23376.1	15049.4
B2RY56	RBM25_MOUSE	Rbm25	RNA-binding protein 25	33	33	7.28E+06	7.68E+06	7.29E+06	5.10E+06	7.57E+06	8.60E+06	8.20E+06
B5TVM2	ILDR2_MOUSE	Ildr2	Immunoglobulin-like domain-containing receptor 2	29	29	2.95E+07	3.31E+07	3.46E+07	2.34E+07	3.27E+07	3.58E+07	3.60E+07
B7ZMP1	XPP3_MOUSE	Xpnpep3	Xaa-Pro aminopeptidase 3	15	15	7.61E+06	8.24E+06	7.65E+06	5.81E+06	9.26E+06	8.85E+06	9.16E+06
B8JKV0	AMN1_MOUSE	Amn1	Protein AMN1 homolog	9	9	4.20E+06	3.44E+06	4.67E+06	2.99E+06	4.11E+06	4.86E+06	4.73E+06
B8ZXI1	QTRT2_MOUSE	Qtrt2	Queuine tRNA-ribosyltransferase accessory subunit 2	10	10	1.81E+06	1.68E+06	1.55E+06	1.43E+06	2.33E+06	2.16E+06	2.15E+06
B9EHT4	CLIP3_MOUSE	Clip3	CAP-Gly domain-containing linker protein 3	24	24	5.13E+07	5.10E+07	5.26E+07	3.41E+07	5.20E+07	5.39E+07	5.56E+07
B9EJ80	PDZD8_MOUSE	Pdzd8	PDZ domain-containing protein 8	48	48	3.32E+07	3.13E+07	3.15E+07	2.35E+07	3.55E+07	3.80E+07	3.40E+07
B9EJ86	OSBL8_MOUSE	Osbpl8	Oxysterol-binding protein-related protein 8	42	37	8.68E+06	8.74E+06	8.78E+06	5.85E+06	8.87E+06	9.21E+06	9.76E+06
B9EJA2-2	CTTB2_MOUSE	Cttnbp2	Isoform 2 of Cortactin-binding protein 2	1	1	1.59E+06	1.84E+06	1.63E+06	635973	1.23E+06	1.79E+06	1.59E+06
B9EJA2;B9EJA2-5	CTTB2_MOUSE	Cttnbp2	Cortactin-binding protein 2	65	64	3.94E+07	3.95E+07	3.81E+07	2.94E+07	4.10E+07	4.26E+07	4.14E+07
B9EJI9	T229A_MOUSE	Tmem229a	Transmembrane protein 229A	6	6	1.28E+07	1.21E+07	1.17E+07	8.99E+06	1.31E+07	1.36E+07	1.29E+07
B9EJR8	DAAF5_MOUSE	Dnaaf5	Dynein axonemal assembly factor 5	9	9	1.66E+06	1.91E+06	1.73E+06	1.15E+06	2.43E+06	2.50E+06	2.09E+06
B9EKI3	TMF1_MOUSE	Tmf1	TATA element modulatory factor	24	24	2.63E+06	2.30E+06	2.29E+06	1.75E+06	2.56E+06	2.74E+06	2.71E+06
B9EKR1	PTPRZ_MOUSE	Ptprz1	Receptor-type tyrosine-protein phosphatase zeta	64	64	2.63E+08	2.37E+08	2.36E+08	1.38E+08	2.14E+08	2.79E+08	2.48E+08
C0HK79;C0HK80	ARXS1_MOUSE;ARXS2_MOUSE	Arxes1;Arxes2	Adipocyte-related X-chromosome expressed sequence 1	6	0	5.21E+06	6.08E+06	5.84E+06	3.47E+06	5.99E+06	5.74E+06	6.29E+06
C0HKD8;C0HKD9	MFA1A_MOUSE;MFA1B_MOUSE	Mfap1a;Mfap1b	Microfibrillar-associated protein 1A	11	0	1.93E+06	2.21E+06	2.09E+06	1.37E+06	1.99E+06	2.26E+06	2.50E+06
C0HKG5;C0HKG6	RNT2A_MOUSE;RNT2B_MOUSE	Rnaset2a;Rnaset2b	Ribonuclease T2-A	6	0	799532	1.02E+06	960567	682674	918520	1.03E+06	1.29E+06
D0QMC3	MNDAL_MOUSE	Mndal	Myeloid cell nuclear differentiation antigen-like protein	1	0			2654.89		4252.85	3317.91	3535.8
D3YUB6;D3YUB6-3	BTBD8_MOUSE	Btbd8	BTB/POZ domain-containing protein 8	52	52	1.21E+07	1.18E+07	1.26E+07	8.76E+06	1.27E+07	1.27E+07	1.31E+07
D3YVE8	S35G2_MOUSE	Slc35g2	Solute carrier family 35 member G2	5	5	8.74E+06	8.34E+06	7.70E+06	5.48E+06	8.60E+06	1.01E+07	7.93E+06
D3YVF0	AKAP5_MOUSE	Akap5	A-kinase anchor protein 5	36	36	9.77E+07	8.63E+07	9.98E+07	6.35E+07	8.87E+07	9.32E+07	9.43E+07
D3YWQ0-2	DGKI_MOUSE	Dgki	Isoform 2 of Diacylglycerol kinase iota	42	39	3.58E+07	3.13E+07	3.09E+07	2.72E+07	3.61E+07	3.89E+07	3.48E+07
D3YXJ0;D3YXJ0-2	DGKH_MOUSE	Dgkh	Diacylglycerol kinase eta	40	36	1.99E+07	1.93E+07	1.64E+07	1.49E+07	2.02E+07	2.30E+07	1.95E+07
D3YXK1	SAMD1_MOUSE	Samd1	Sterile alpha motif domain-containing protein 1	3	3	15720.7	14878.4	13321.7	12530.3	17487	14472	12701.8
D3YXK2	SAFB1_MOUSE	Safb	Scaffold attachment factor B1	39	27	3.29E+07	3.87E+07	3.57E+07	2.43E+07	4.69E+07	4.14E+07	4.33E+07
D3YZG8	MTD2L_MOUSE	Mthfd2l	"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase 2, mitochondrial"	3	3	4.51E+06	4.88E+06	4.82E+06	3.57E+06	5.28E+06	4.77E+06	5.95E+06
D3YZI9	PGBD5_MOUSE	Pgbd5	PiggyBac transposable element-derived protein 5	21	21	1.18E+07	1.18E+07	1.09E+07	8.69E+06	1.13E+07	1.32E+07	1.24E+07
D3YZP9	CCDC6_MOUSE	Ccdc6	Coiled-coil domain-containing protein 6	24	24	3.77E+07	3.49E+07	3.42E+07	2.46E+07	3.51E+07	3.92E+07	3.46E+07
D3YZU1	SHAN1_MOUSE	Shank1	SH3 and multiple ankyrin repeat domains protein 1	86	85	3.34E+07	3.21E+07	3.22E+07	2.47E+07	3.36E+07	3.32E+07	3.53E+07
D3YZV8	CCDC8_MOUSE	Ccdc8	Coiled-coil domain-containing protein 8 homolog	2	2	11138.8	10055.5	9074.21	17214	25609.2	15085.8	9089.46
D3Z4I3	RBM24_MOUSE	Rbm24	RNA-binding protein 24	6	1	1.03E+06	1.24E+06	1.09E+06	838485	1.19E+06	1.46E+06	1.31E+06
D3Z4S3	PTRD1_MOUSE	Ptrhd1	Putative peptidyl-tRNA hydrolase PTRHD1	7	7	7.54E+06	8.58E+06	7.65E+06	5.31E+06	1.07E+07	9.21E+06	1.23E+07
D3Z5L6	S18B1_MOUSE	Slc18b1	MFS-type transporter SLC18B1	1	1	48504.8		47495.9			65868.3	
D3Z6H8;P0DMN7	DCAM1_MOUSE;DCAM2_MOUSE	Amd1;Amd2	S-adenosylmethionine decarboxylase proenzyme 2	2	0	27005.1	27599	21110.5	15602.1	32126.6	37142	38556.8
D3Z6Q9	BIN2_MOUSE	Bin2	Bridging integrator 2	16	16	4.00E+06	3.81E+06	3.75E+06	2.70E+06	3.93E+06	3.57E+06	4.80E+06
D3Z7H4	GSG1L_MOUSE	Gsg1l	Germ cell-specific gene 1-like protein	5	5	1.29E+06	853312	1.27E+06	557609	948584	1.11E+06	1.41E+06
D3Z7P3	GLSK_MOUSE	Gls	"Glutaminase kidney isoform, mitochondrial"	40	39	1.83E+08	2.03E+08	2.06E+08	1.43E+08	2.02E+08	2.12E+08	2.19E+08
D3Z7P3-2	GLSK_MOUSE	Gls	"Isoform 2 of Glutaminase kidney isoform, mitochondrial"	3	3	1.03E+07	9.16E+06	7.15E+06	7.61E+06	9.24E+06	1.02E+07	9.26E+06
D3Z7Q2	SIM20_MOUSE	Smim20	Small integral membrane protein 20	2	2	1.24E+06	1.25E+06	1.04E+06	871341	1.43E+06	1.42E+06	1.49E+06
E0CZ16-2;E0CZ16	KLHL3_MOUSE	Klhl3	Kelch-like protein 3	17	16	8.19E+07	8.34E+07	8.28E+07	5.78E+07	8.48E+07	9.60E+07	8.02E+07
E1U8D0	SOGA1_MOUSE	Soga1	Protein SOGA1	30	30	1.36E+07	1.22E+07	1.17E+07	1.00E+07	1.61E+07	1.41E+07	1.64E+07
E9PUL5	PRRT2_MOUSE	Prrt2	Proline-rich transmembrane protein 2	12	12	1.15E+08	7.68E+07	7.40E+07	6.37E+07	8.99E+07	7.91E+07	7.91E+07
E9PUQ8	DGKD_MOUSE	Dgkd	Diacylglycerol kinase delta	33	33	4.62E+07	4.30E+07	4.19E+07	3.12E+07	4.39E+07	4.72E+07	4.54E+07
E9PV24	FIBA_MOUSE	Fga	Fibrinogen alpha chain	21	21	3.17E+06	539236	1.84E+06	1.10E+06	1.05E+06	774411	1.09E+07
E9PV86	MCTP1_MOUSE	Mctp1	Multiple C2 and transmembrane domain-containing protein 1	37	36	3.11E+07	3.76E+07	3.45E+07	2.69E+07	4.02E+07	4.50E+07	4.02E+07
E9PVA8	GCN1_MOUSE	Gcn1	eIF-2-alpha kinase activator GCN1	134	134	8.91E+07	9.52E+07	9.16E+07	6.69E+07	1.03E+08	1.04E+08	1.10E+08
E9PVB5	TTC17_MOUSE	Ttc17	Tetratricopeptide repeat protein 17	6	6	1.14E+06	535530	1.17E+06	972704	1.01E+06	1.02E+06	841861
E9PVD3	PCD16_MOUSE	Dchs1	Protocadherin-16	28	28	2.11E+06	2.18E+06	2.10E+06	1.46E+06	2.35E+06	2.45E+06	2.75E+06
E9PXF8-2	MTMRD_MOUSE	Sbf2	Isoform 2 of Myotubularin-related protein 13	47	46	2.68E+08	2.42E+08	2.42E+08	1.86E+08	2.87E+08	2.91E+08	3.10E+08
E9PY46	IF140_MOUSE	Ift140	Intraflagellar transport protein 140 homolog	24	24	5.15E+07	5.40E+07	5.20E+07	3.92E+07	6.33E+07	6.34E+07	5.93E+07
E9PYH6	SET1A_MOUSE	Setd1a	Histone-lysine N-methyltransferase SETD1A	22	21	2.39E+06	1.99E+06	2.18E+06	1.63E+06	2.54E+06	2.64E+06	2.36E+06
E9PYK3	PARP4_MOUSE	Parp4	Protein mono-ADP-ribosyltransferase PARP4	14	14	838696	963242	751794	625692	1.01E+06	984889	1.03E+06
E9PYL2	PRR12_MOUSE	Prr12	Proline-rich protein 12	19	19	3.52E+06	4.02E+06	3.82E+06	2.26E+06	3.58E+06	4.30E+06	4.00E+06
E9PZ19	TUTLB_MOUSE	Igsf9b	Protein turtle homolog B	25	25	1.33E+07	9.50E+06	1.11E+07	6.31E+06	8.66E+06	8.66E+06	9.92E+06
E9PZJ8	ASCC3_MOUSE	Ascc3	Activating signal cointegrator 1 complex subunit 3	52	52	1.83E+07	1.92E+07	1.90E+07	1.36E+07	2.18E+07	1.96E+07	2.11E+07
E9PZM4	CHD2_MOUSE	Chd2	Chromodomain-helicase-DNA-binding protein 2	22	16	1.20E+06	1.09E+06	1.19E+06	798368	1.05E+06	1.20E+06	1.22E+06
E9Q0B3	CC080_MOUSE		Uncharacterized membrane protein C3orf80 homolog	3	3	32071.6	90677.7	35883.6	51057.7	88011.4	70324.1	35690.3
E9Q0S6	TENS1_MOUSE	Tns1	Tensin-1	60	56	5.99E+07	5.57E+07	5.56E+07	4.04E+07	6.08E+07	6.15E+07	6.82E+07
E9Q137	TX264_MOUSE	Tex264	Testis-expressed protein 264 homolog	9	9	1.02E+07	1.19E+07	1.15E+07	7.31E+06	1.10E+07	1.27E+07	1.28E+07
E9Q1P8	I2BP2_MOUSE	Irf2bp2	Interferon regulatory factor 2-binding protein 2	14	14	2.34E+06	2.31E+06	2.08E+06	1.78E+06	2.76E+06	2.33E+06	3.29E+06
E9Q236	MRP4_MOUSE	Abcc4	ATP-binding cassette sub-family C member 4	31	31	4.98E+07	4.50E+07	4.22E+07	4.60E+07	7.24E+07	5.96E+07	5.72E+07
E9Q286	ICE1_MOUSE	Ice1	Little elongation complex subunit 1	6	6	65721.5	71000.9	108242		122613	67899.2	77939.8
E9Q394-2	AKP13_MOUSE	Akap13	Isoform 2 of A-kinase anchor protein 13	31	31	1.24E+06	1.41E+06	1.05E+06	1.00E+06	1.45E+06	1.40E+06	1.54E+06
E9Q3C1	C2CD2_MOUSE	C2cd2	C2 domain-containing protein 2	11	11	2.12E+06	2.08E+06	2.02E+06	1.17E+06	1.68E+06	2.07E+06	1.92E+06
E9Q3L2	PI4KA_MOUSE	Pi4ka	Phosphatidylinositol 4-kinase alpha	119	119	4.55E+08	4.43E+08	4.74E+08	3.09E+08	4.56E+08	5.02E+08	4.78E+08
E9Q3M5	S4A5_MOUSE	Slc4a5	Electrogenic sodium bicarbonate cotransporter 4	3	3				1.08E+06	1.19E+06		430762
E9Q401	RYR2_MOUSE	Ryr2	Ryanodine receptor 2	255	233	8.17E+07	8.24E+07	7.59E+07	6.57E+07	8.80E+07	9.19E+07	8.30E+07
E9Q414	APOB_MOUSE	Apob	Apolipoprotein B-100	4	4	446105	515960	582801	409906	467580	533127	458070
E9Q4F2	KLH18_MOUSE	Klhl18	Kelch-like protein 18	3	3	364509	283494	367251	288668	452363	370631	359410
E9Q4F7	ANR11_MOUSE	Ankrd11	Ankyrin repeat domain-containing protein 11	6	6	253236	272654	246051	190707	194378		212954
E9Q4N7	ARI1B_MOUSE	Arid1b	AT-rich interactive domain-containing protein 1B	51	48	7.76E+06	7.65E+06	7.16E+06	5.29E+06	8.16E+06	8.59E+06	8.61E+06
E9Q4P1	WDFY1_MOUSE	Wdfy1	WD repeat and FYVE domain-containing protein 1	5	5	841027	759989	1.42E+06	1.18E+06	1.56E+06	1.22E+06	1.65E+06
E9Q4S1	PDE8B_MOUSE	Pde8b	"High affinity cAMP-specific and IBMX-insensitive 3',5'-cyclic phosphodiesterase 8B"	27	27	1.18E+07	1.06E+07	1.06E+07	7.43E+06	1.01E+07	1.29E+07	1.10E+07
E9Q4Z2	ACACB_MOUSE	Acacb	Acetyl-CoA carboxylase 2	3	3	1.29E+06		998213	653316		1.13E+06	1.16E+06
E9Q555	RN213_MOUSE	Rnf213	E3 ubiquitin-protein ligase RNF213	26	26	1.39E+06	1.32E+06	1.25E+06	995467	1.75E+06	1.40E+06	1.86E+06
E9Q557	DESP_MOUSE	Dsp	Desmoplakin	64	64	3.95E+08	4.33E+08	2.72E+08	3.64E+08	4.98E+08	5.25E+08	3.93E+08
E9Q5C9	NOLC1_MOUSE	Nolc1	Nucleolar and coiled-body phosphoprotein 1	18	18	7.12E+07	6.73E+07	7.14E+07	4.49E+07	6.72E+07	8.40E+07	7.58E+07
E9Q5F9;E9Q5F9-2	SETD2_MOUSE	Setd2	Histone-lysine N-methyltransferase SETD2	17	17	942085	728342	862384	681215	919608	797589	1.09E+06
E9Q5K9-3	YTDC1_MOUSE	Ythdc1	Isoform 3 of YTH domain-containing protein 1	11	11	6.67E+06	6.13E+06	5.79E+06	4.07E+06	6.14E+06	8.42E+06	7.46E+06
E9Q612	PTPRO_MOUSE	Ptpro	Receptor-type tyrosine-protein phosphatase O	5	5	286006	315910	299194	141239	260147	297307	444516
E9Q634	MYO1E_MOUSE	Myo1e	Unconventional myosin-Ie	26	22	5.49E+06	4.50E+06	4.22E+06	3.86E+06	6.11E+06	5.71E+06	5.52E+06
E9Q6B2	CC85C_MOUSE	Ccdc85c	Coiled-coil domain-containing protein 85C	14	14	3.51E+06	3.70E+06	3.57E+06	2.25E+06	3.71E+06	4.55E+06	4.07E+06
E9Q6C8	XKR6_MOUSE	Xkr6	XK-related protein 6	6	6	451531	368144	396736	256235	364042	278037	319912
E9Q6J5;E9Q6J5-3;E9Q6J5-2	BD1L1_MOUSE	Bod1l	Biorientation of chromosomes in cell division protein 1-like 1	46	44	6.71E+06	6.38E+06	6.45E+06	4.31E+06	7.07E+06	7.05E+06	7.13E+06
E9Q6P5	TTC7B_MOUSE	Ttc7b	Tetratricopeptide repeat protein 7B	46	46	1.70E+08	1.65E+08	1.75E+08	1.19E+08	1.74E+08	1.81E+08	1.81E+08
E9Q735	UBE4A_MOUSE	Ube4a	Ubiquitin conjugation factor E4 A	32	32	1.89E+07	1.87E+07	1.80E+07	1.28E+07	1.91E+07	1.95E+07	2.06E+07
E9Q743	CF251_MOUSE	Cfap251	Cilia- and flagella-associated protein 251	3	3	29387.2				16163.2	38415.5	
E9Q784	ZC3HD_MOUSE	Zc3h13	Zinc finger CCCH domain-containing protein 13	13	13	857189	1.05E+06	765931	856691	1.15E+06	1.23E+06	1.37E+06
E9Q7E2	ARID2_MOUSE	Arid2	AT-rich interactive domain-containing protein 2	18	18	2.87E+06	2.98E+06	3.23E+06	2.13E+06	3.24E+06	3.46E+06	2.88E+06
E9Q7G0	NUMA1_MOUSE	Numa1	Nuclear mitotic apparatus protein 1	97	97	1.32E+08	1.39E+08	1.29E+08	9.93E+07	1.58E+08	1.66E+08	1.58E+08
E9Q7T7	CHADL_MOUSE	Chadl	Chondroadherin-like protein	22	22	6.42E+06	6.04E+06	7.15E+06	3.97E+06	5.76E+06	7.01E+06	7.66E+06
E9Q7X6-2;E9Q7X6	HEG1_MOUSE	Heg1	Protein HEG homolog 1	3	3	272013	303696	317725	294651	437878	507344	474205
E9Q7X7	NRX2A_MOUSE	Nrxn2	Neurexin-2	58	52	4.31E+07	4.09E+07	4.19E+07	2.58E+07	3.91E+07	4.62E+07	4.49E+07
E9Q8D0	DJC21_MOUSE	Dnajc21	DnaJ homolog subfamily C member 21	4	4	20419.3	19947.8	17883.9	18741.5	21761.1	29570.7	25214
E9Q8I9-2	FRY_MOUSE	Fry	Isoform 2 of Protein furry homolog	103	103	2.26E+07	2.21E+07	2.11E+07	1.59E+07	2.25E+07	2.22E+07	2.26E+07
E9Q912-2	GDS1_MOUSE	Rap1gds1	Isoform 2 of Rap1 GTPase-GDP dissociation stimulator 1	29	29	1.22E+08	1.09E+08	1.11E+08	8.32E+07	1.19E+08	1.16E+08	1.18E+08
E9Q912-3	GDS1_MOUSE	Rap1gds1	Isoform 3 of Rap1 GTPase-GDP dissociation stimulator 1	2	2	1.76E+07	1.92E+07	1.67E+07	1.45E+07	2.12E+07	1.83E+07	1.73E+07
E9Q942	SIM13_MOUSE	Smim13	Small integral membrane protein 13	1	1	956160		789703	1.25E+06		1.30E+06	1.08E+06
