Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
Q9WUV2	SIA7C_MOUSE	St6galnac3	"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3"	1	1	11886.2	12102.7	7808.22	8301.9	14938.8	15344.7	15451
Q9WUX5;Q9WUX5-2	IRAG1_MOUSE	Irag1	"Inositol 1,4,5-triphosphate receptor associated 1"	3	3				182835	1.20E+06	918682	997186
Q9WUZ9	ENTP5_MOUSE	Entpd5	Ectonucleoside triphosphate diphosphohydrolase 5	11	11	2.60E+06	2.72E+06	2.65E+06	1.84E+06	2.63E+06	2.96E+06	2.99E+06
Q9WV02	RBMX_MOUSE	Rbmx	"RNA-binding motif protein, X chromosome"	6	6	1.29E+07	1.44E+07	1.36E+07	1.10E+07	1.70E+07	1.37E+07	1.54E+07
Q9WV03	FA50A_MOUSE	Fam50a	Protein FAM50A	7	5	1.02E+07	1.11E+07	9.98E+06	7.12E+06	1.28E+07	1.20E+07	1.06E+07
Q9WV07	LOXE3_MOUSE	Aloxe3	Hydroperoxide isomerase ALOXE3	8	8	696019	794875	1.10E+06	399598	1.21E+06	1.00E+06	1.23E+06
Q9WV18	GABR1_MOUSE	Gabbr1	Gamma-aminobutyric acid type B receptor subunit 1	35	35	2.14E+07	2.14E+07	2.11E+07	1.45E+07	2.16E+07	2.40E+07	2.34E+07
Q9WV18-2	GABR1_MOUSE	Gabbr1	Isoform 1B of Gamma-aminobutyric acid type B receptor subunit 1	2	2	923478	962294		488910	688256		488654
Q9WV27	AT1A4_MOUSE	Atp1a4	Sodium/potassium-transporting ATPase subunit alpha-4	2	2	2.12E+07	2.71E+07	2.08E+07	2.30E+07	3.39E+07	2.97E+07	3.32E+07
Q9WV30-2;Q9WV30	NFAT5_MOUSE	Nfat5	Nuclear factor of activated T-cells 5	18	18	4.49E+06	4.23E+06	3.91E+06	2.50E+06	4.03E+06	4.34E+06	4.03E+06
Q9WV31	ARC_MOUSE	Arc	Activity-regulated cytoskeleton-associated protein	12	12	3.67E+06	2.76E+06	2.78E+06	1.88E+06	2.34E+06	3.20E+06	2.96E+06
Q9WV32	ARC1B_MOUSE	Arpc1b	Actin-related protein 2/3 complex subunit 1B	15	15	5.13E+06	5.46E+06	5.24E+06	3.69E+06	5.95E+06	5.64E+06	6.76E+06
Q9WV34;Q9WV34-2	MPP2_MOUSE	Mpp2	MAGUK p55 subfamily member 2	42	38	6.39E+07	6.66E+07	6.19E+07	4.68E+07	6.98E+07	7.62E+07	7.13E+07
Q9WV38	GTR5_MOUSE	Slc2a5	"Solute carrier family 2, facilitated glucose transporter member 5"	2	2	231603	142258	115306	97102.1	168089	208031	
Q9WV54	ASAH1_MOUSE	Asah1	Acid ceramidase	26	26	2.33E+07	2.15E+07	2.43E+07	1.81E+07	2.76E+07	2.84E+07	3.03E+07
Q9WV55	VAPA_MOUSE	Vapa	Vesicle-associated membrane protein-associated protein A	23	22	1.39E+08	1.26E+08	1.27E+08	8.53E+07	1.25E+08	1.31E+08	1.23E+08
Q9WV60	GSK3B_MOUSE	Gsk3b	Glycogen synthase kinase-3 beta	28	20	6.93E+07	6.48E+07	6.48E+07	4.86E+07	6.68E+07	6.87E+07	7.05E+07
Q9WV66	MARH7_MOUSE	Marchf7	E3 ubiquitin-protein ligase MARCHF7	3	3	37087.2	35573.5	25314.9			45084.7	24122.7
Q9WV68	DECR2_MOUSE	Decr2	"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]"	10	10	8.38E+06	9.74E+06	9.17E+06	5.41E+06	1.01E+07	8.87E+06	1.06E+07
